Rank,Player,Position,Age,Date,League,Team,Opp,Result,Game,Week,Day,Targets,Recs,Rec_Yards,Yards_per_Rec,Rec_TD,Catch_Percentage,Yard_per_Target
1,Sammy Watkins,WR,26.086,2019-09-08,NFL,KAN,JAX,W 40-26,1,1,Sun,11,9,198,22.0,3,81.8,18.0
2,Michael Gallup,WR,23.157,2019-09-08,NFL,DAL,NYG,W 35-17,1,1,Sun,7,7,158,22.57,0,100.0,22.57
3,John Ross,WR,24.285,2019-09-08,NFL,CIN,SEA,L 20-21,1,1,Sun,12,7,158,22.57,2,58.3,13.17
4,DeSean Jackson,WR,32.281,2019-09-08,NFL,PHI,WAS,W 32-27,1,1,Sun,9,8,154,19.25,2,88.9,17.11
5,Marquise Brown,WR,22.096,2019-09-08,NFL,BAL,MIA,W 59-10,1,1,Sun,5,4,147,36.75,2,80.0,29.4
6,DJ Chark,WR,22.35,2019-09-08,NFL,JAX,KAN,L 26-40,1,1,Sun,4,4,146,36.5,1,100.0,36.5
7,T.J. Hockenson,TE,22.067,2019-09-08,NFL,DET,ARI,T 27-27,1,1,Sun,9,6,131,21.83,1,66.7,14.56
8,Terry McLaurin,WR,23.358,2019-09-08,NFL,WAS,PHI,L 27-32,1,1,Sun,7,5,125,25.0,1,71.4,17.86
9,Keenan Allen,WR,27.134,2019-09-08,NFL,LAC,IND,W 30-24,1,1,Sun,10,8,123,15.38,1,80.0,12.3
10,John Brown,WR,29.158,2019-09-08,NFL,BUF,NYJ,W 17-16,1,1,Sun,10,7,123,17.57,1,70.0,12.3
11,Michael Thomas,WR,26.19,2019-09-09,NFL,NOR,HOU,W 30-28,1,1,Mon,13,10,123,12.3,0,76.9,9.46
12,Courtland Sutton,WR,23.334,2019-09-09,NFL,DEN,OAK,L 16-24,1,1,Mon,8,7,120,17.14,0,87.5,15.0
13,Evan Engram,TE,25.006,2019-09-08,NFL,NYG,DAL,L 17-35,1,1,Sun,14,11,116,10.55,1,78.6,8.29
14,Larry Fitzgerald,WR,36.008,2019-09-08,NFL,ARI,DET,T 27-27,1,1,Sun,13,8,113,14.13,1,61.5,8.69
15,DeAndre Hopkins,WR,27.095,2019-09-09,NFL,HOU,NOR,L 28-30,1,1,Mon,13,8,111,13.88,2,61.5,8.54
16,Mark Andrews,TE,23.002,2019-09-08,NFL,BAL,MIA,W 59-10,1,1,Sun,8,8,108,13.5,1,100.0,13.5
17,Amari Cooper,WR,25.083,2019-09-08,NFL,DAL,NYG,W 35-17,1,1,Sun,9,6,106,17.67,1,66.7,11.78
18,Tyrell Williams,WR,27.209,2019-09-09,NFL,OAK,DEN,W 24-16,1,1,Mon,7,6,105,17.5,1,85.7,15.0
19,Danny Amendola,WR,33.31,2019-09-08,NFL,DET,ARI,T 27-27,1,1,Sun,13,7,104,14.86,1,53.8,8.0
20,Allen Robinson,WR,26.012,2019-09-05,NFL,CHI,GNB,L 3-10,1,1,Thu,13,7,102,14.57,0,53.8,7.85
21,Ted Ginn Jr.,WR,34.15,2019-09-09,NFL,NOR,HOU,W 30-28,1,1,Mon,7,7,101,14.43,0,100.0,14.43
